HorizonName,Cum_Length_Proven,Cum_Length_Secure,Cum_Length_Assume,Cum_Length
T,778.2,7423.6,8743.7,16945.5
Q,5090.8,14118.3,11029.6,30238.7
Q-1,0,0,0,0
N,2472.6,240.9,1780.5,4494
F,18179.3,19690,15368.7,53238
F-2,0,0,0,0
Zo2,40533.2,22861.9,16542,79937.1
Zo8,39533.8,25058.8,23925.1,88517.7
La,19102.6,3543.6,4373.5,27019.7
Gu,28153,29543.7,48152,105848.7
Ma,27523.9,25710.5,54843.6,108078
Hu-1,0,0,0,0
Hu,20013.7,37750.9,56619,114383.6
Ka,33668.4,25721.3,73638.9,133028.6
Er,22957.1,16837.3,92123.3,131917.7
Pr,26597,7800,113275.1,147672.1
Di,23081.4,15408,111506.5,149995.9
So,43049.6,5341.5,115148,163539.1
Pl,0,0,0,0
Gi5,33908.4,14125.9,129730.6,177764.9
Fi,35310.2,16334.6,143450.4,195095.2
Ge1,1893.5,0,0,1893.5
Kr-2,3689.7,0,0,3689.7
Mg,18456,37903.1,140923.9,197283
Sb,6173,7344.2,166599.4,180116.6
Hf,355.2,247,122365.3,122967.5
Wb,621.7,0,122720,123341.7
Gs,0,0,27314.2,27314.2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,99.51027711,,122967.5
