FaultName,Name,Distance,Displacement,HorizonName,Uncertainty,ProfilePatterns,Section
Sc_8_F_8,f1,0,0,F-2,Proven,Positive Skewed,Upper
Sc_8_F_8,f1,114,332.1,Zo2,Secured,Positive Skewed,Upper
Sc_8_F_8,f1,259.1,459.5,Zo8,Secured,Positive Skewed,Mid
Sc_8_F_8,f1,925.4,123.5,Gu,Secured,Positive Skewed,Mid
Sc_8_F_8,f1,1048.8,125.4,Ma,Secured,Positive Skewed,Lower
Sc_8_F_8,f1,1207.5,28.4,Hu,Secured,Positive Skewed,Lower
Sc_8_F_8,f1,1227.5,0,Ka,Secured,Positive Skewed,Lower
Sc_8_F_10,f2,0,0,Zo8,Secured,Trapezoid,Upper
Sc_8_F_10,f2,201.1,55,Gu,Secured,Trapezoid,Upper
Sc_8_F_10,f2,351.2,51,Ma,Secured,Trapezoid,Upper
Sc_8_F_10,f2,489.4,52.8,Hu,Secured,Trapezoid,Mid
Sc_8_F_10,f2,634.7,6.3,Ka,Secured,Trapezoid,Lower
Sc_8_F_10,f2,694.8,0.8,Er,Assumed,Trapezoid,Lower
Sc_8_F_10,f2,705,0,Pr,Assumed,Trapezoid,Lower
Sc_8_F_10a,f3,0,0,Gu,Secured,Triangle,Upper
Sc_8_F_10a,f3,11.5,21,Ma,Secured,Triangle,Upper
Sc_8_F_10a,f3,149.7,52.8,Hu,Secured,Triangle,Mid
Sc_8_F_10a,f3,295,6.3,Ka,Secured,Triangle,Lower
Sc_8_F_10a,f3,363.7,0,Er,Secured,Triangle,Lower
Sc_8_F10_F8,f4,0,0,F,Proven,Positive Skewed,Upper
Sc_8_F10_F8,f4,114,332.1,Zo2,Proven,Positive Skewed,Upper
Sc_8_F10_F8,f4,259.1,459.5,Zo8,Proven,Positive Skewed,Mid
Sc_8_F10_F8,f4,925.4,123.5,Gu,Secured,Positive Skewed,Mid
Sc_8_F10_F8,f4,1048.8,176.4,Ma,Proven,Positive Skewed,Lower
Sc_8_F10_F8,f4,1207.5,81.2,Hu,Secured,Positive Skewed,Lower
Sc_8_F10_F8,f4,1215,0,Ka,Secured,Positive Skewed,Lower
Sc_1_F_9,f5,0,0,N,Proven,Trapezoid,Upper
Sc_1_F_9,f5,148.6,94,F,Proven,Trapezoid,Upper
Sc_1_F_9,f5,462.2,107.5,Zo2,Proven,Trapezoid,Upper
Sc_1_F_9,f5,640.4,94.5,Zo8,Proven,Trapezoid,Upper
Sc_1_F_9,f5,1265.2,46.7,Gu,Proven,Trapezoid,Mid
Sc_1_F_9,f5,1438.3,48.4,Ma,Secured,Trapezoid,Mid
Sc_1_F_9,f5,1570.7,26.8,Hu,Secured,Trapezoid,Lower
Sc_1_F_9,f5,1768,49.2,Ka,Assumed,Trapezoid,Lower
Sc_1_F_9,f5,1982.8,75.4,Er,Assumed,Trapezoid,Lower
Sc_1_F_9,f5,2002,0,Pr,Secured,Trapezoid,Lower
Sc_1_F_28,f6,0,0,F-2,Proven,Negative Skewed,Upper
Sc_1_F_28,f6,72.7,28.9,Zo2,Secured,Negative Skewed,Upper
Sc_1_F_28,f6,201.7,23.4,Zo8,Secured,Negative Skewed,Upper
Sc_1_F_28,f6,680.6,17.5,Gu,Secured,Negative Skewed,Upper
Sc_1_F_28,f6,802.1,25.5,Ma,Secured,Negative Skewed,Upper
Sc_1_F_28,f6,887.6,30.4,Hu,Secured,Negative Skewed,Mid
