No.faults_Sc,Section,Horizons,Lithology,Uncertainty,Displacements,Throw,Heave,Length (m),Fault Av Plunge deg,Fault Av Plunge Azimuth,Angle (deg),Bedding plane dip HW,Bedding plane Azimuth HW,Bedding plane dip FW,Bedding plane Azimuth FW,Fault size
Fault10_12,12,Ka,Fine sst with siltyclay ,Proven,30.2,28.6,9.7,324.1,77.93,325.62,71.27,35.08,145.62,51.01,325.62,Small
Fault10_12,12,Er,Fine sst with siltyclay ,Proven,28,18.2,7.6,324.1,77.93,325.62,19.7,28.31,145.62,3.73,326.96,Small
Fault10_12,12,Hu,Fine sst with siltyclay ,Assumed,11.1,9.5,0.5,324.1,77.93,325.62,86.99,47.96,145.62,47.32,325.62,Small
FaultS22_4,4,Ma,Fine sst with siltyclay ,Secured,24.5,13.7,20.3,337,19.87,143.57,34,11.05,323.57,5.95,143.26,Small
FaultS22_4,4,Hu,Fine sst with siltyclay ,Secured,52.4,17.3,49.2,337,19.87,143.57,15.38,33.46,323.57,4.89,143.57,Small
FaultS22_4,4,Ka1,Fine sst with siltyclay ,Proven,57,8.8,56.7,337,19.87,143.57,8.84,6.88,32.57,6.25,143.57,Small
Fault8_4,4,Gu,Fine sst with siltyclay ,Secured,43.5,18,39.6,381.5,26.7,156.2,24.48,1.77,336.2,15.47,336.2,Small
Fault8_4,4,Ma,Fine sst with siltyclay ,Proven,20.1,8.4,18.3,381.5,26.7,156.2,24.8,0.7,156.2,21.63,336.2,Small
Fault8_4,4,Hu,Fine sst with siltyclay ,Proven,24.8,12,21.8,381.5,26.7,156.2,28.79,1.47,336.2,22.14,336.2,Small
Faultn14_7,7,Gu,Fine sst with siltyclay ,Secured,30.2,16.9,25,435.8,28.77,65.04,34.02,8.4,245.04,0,254.92,Small
Faultn14_7,7,Ma,Fine sst with siltyclay ,Secured,9.4,4.8,8.1,435.8,28.77,65.04,30.47,9.08,245.04,18.04,245.04,Small
Faultn14_7,7,Hu,Fine sst with siltyclay ,Assumed,7.7,3.7,6.7,435.8,28.77,65.04,28.76,10.55,245.04,13.51,245.04,Small
Faultn14_7,7,Ka,Fine sst with siltyclay ,Proven,12,4.4,11.2,435.8,28.77,65.04,21.46,0.6,314.39,34.75,245.04,Small
Fault14_7,7,GU,Fine sst with siltyclay ,Secured,30.2,16.9,25,435.8,28.77,65.04,34.02,8.4,245.04,0,254.92,Small
Fault14_7,7,Ma,Fine sst with siltyclay ,Secured,9.3,4.7,8,435.8,28.77,65.04,30.47,9.08,245.04,18.04,245.04,Small
Fault14_7,7,Hu,Fine sst with siltyclay ,Assumed,7.7,3.7,6.7,435.8,28.77,65.04,28.76,10.55,245.04,13.51,245.04,Small
Fault14_7,7,Ka,Fine sst with siltyclay ,Proven,12,4.4,11.2,435.8,28.77,65.04,21.64,0.6,314.39,34.75,245.04,Small
FaultS6_5,5,Gu,Fine sst with siltyclay ,Proven,10.4,6.2,8.3,467.8,41.05,337.63,36.87,3.36,337.63,20.52,7.05,Small
FaultS6_5,5,Ma,Fine sst with siltyclay ,Secured,22.4,14.6,17,467.8,41.05,337.63,40.73,5.67,157.63,15.54,347.27,Small
FaultS6_5,5,Hu,Fine sst with siltyclay ,Secured,13.6,8.2,10.9,467.8,41.05,337.63,37.02,2.9,157.63,3.68,337.63,Small
FaultS6_5,5,Ka,Fine sst with siltyclay ,Assumed,14.7,10.1,10.7,467.8,41.05,337.63,43.45,7.4,337.63,0.65,337.63,Small
FaultS6_5,5,Er,Fine sst with siltyclay ,Assumed,13.8,10.2,9.2,467.8,41.05,337.63,47.83,19.29,337.63,9.58,342.31,Small
Faultn53_9,9,Fi,Sandstone,Secured,23.8,15.1,18.3,492.8,45.12,323.1,39.61,14.47,323.1,0.06,143.1,Small
Faultn53_9,9,Mg,Mudstone,Assumed,36.2,27.4,23.6,492.8,45.12,323.1,49.24,22.98,323.1,15.87,323.1,Small
FaultS18_12,12,Pr,Ryolite,Secured,114.5,79.8,82.1,555.4,46.93,332.46,43.74,25.78,332.32,10.8,141.44,Small
Faults3_12,12,Pr,Ryolite,Secured,114.5,80.8,83.2,555.4,46.93,332.46,43.74,25.78,332.32,10.8,141.44,Small
FaultS18_12,12,Di,Fine sst with siltyclay ,Assumed,66.7,39.2,54,555.4,46.93,332.46,35.94,27.19,332.35,8.88,142.05,Small
FaultS18_12,12,So,Fine sst with siltyclay ,Assumed,6.2,4.5,4.2,555.4,46.93,332.46,46.58,35.95,332.46,8.59,142.52,Small
Faults18_12,12,Di,Fine sst with siltyclay ,Secured,66.7,39.2,54,555.4,46.93,332.46,35.94,27.19,332.35,8.88,142.05,Small
Faults18_12,12,So,Fine sst with siltyclay ,Secured,7,4.5,4.2,555.4,46.93,332.46,46.58,32.91,332.45,8.59,142.52,Small
FaultS7_5,5,Gu,Fine sst with siltyclay ,Proven,5,2.6,4.2,561.2,34.3,157.39,31.16,2.21,337.27,1.4,337.75,Small
FaultS7_5,5,Ma,Fine sst with siltyclay ,Secured,26.8,16.3,21.3,561.2,34.3,157.39,37.48,9.06,157.48,3.88,157.17,Small
FaultS7_5,5,Hu,Fine sst with siltyclay ,Secured,63.5,45.1,44.6,561.2,34.3,157.39,45,2.9,157.63,10.96,157.26,Small
FaultS7_5,5,Ka,Fine sst with siltyclay ,Assumed,61.1,33.3,51.1,561.2,34.3,157.39,31.16,7.4,337.63,1.31,157.79,Small
FaultS7_5,5,Er,Fine sst with siltyclay ,Assumed,11.8,6.1,10.1,561.2,34.3,157.39,30.96,19.29,337.63,9.03,331.33,Small
FaultS2_11,11,Pr,Ryolite,Assumed,58.9,5.9,58.6,685.8,1.85,141.24,5.71,44.39,321.25,16.6,321.48,Small
FaultS2_11,11,Di,Fine sst with siltyclay ,Assumed,58.7,5.9,58.4,685.8,1.85,141.24,5.86,47,321.26,22.19,321.48,Small
FaultS2_11,11,So,Fine sst with siltyclay ,Assumed,56.3,5.8,56,685.8,1.85,141.24,5.86,10.22,328.62,54.55,321.43,Small
Fault55_7,7,Gu,Fine sst with siltyclay ,Assumed,19,6.8,17.8,699.6,23.65,158.14,20.85,9.23,336.47,6.03,336.44,Small
Fault55_7,7,Ma,Fine sst with siltyclay ,Secured,78,27.6,72.9,699.6,23.65,158.14,20.75,8.75,158.5,0.1,336.9,Small
Fault55_7,7,Hu,Fine sst with siltyclay ,Secured,23.6,8.9,21.9,699.6,23.65,158.14,22.15,6.04,158.87,0.66,158.26,Small
FaultS2_12,12,So,Fine sst with siltyclay ,Assumed,77.8,62.7,36.9,704.7,15.92,152.46,59.49,35.95,332.46,6.23,332.44,Small
FaultS2_12,12,Gi5,Fine sst with siltyclay ,Assumed,79,13.6,77.8,704.7,15.92,152.46,9.89,2.27,143.22,16.23,332.13,Small
Fault22B_5,5,Ka,Fine sst with siltyclay ,Secured,12.2,2.8,6.9,720.4,14.01,144.13,22.38,84.29,324.13,4.49,144.13,Small
