No,Section,Horizons,Cum_Length_Proven,Cum_Length_Secure,Cum_Length_Assume,,,Total-Horizons-Length,Horizons,Section-1,,,Section-2,,,Section-3,,,Section-4,,,Section-5,,,Section-6,,,Section-7,,,Section-8,,,Section-9,,,Section-10,,,Section-11,,,Section-12,,
204,1,Zo2,40533.2,22861.9,16542,,,,Horizons,Level-2,Level-3,Level-4,Level-2,Level-3,Level-4,Level-2,Level-3,Level-4,Level-2,Level-3,Level-4,Level-2,Level-3,Level-4,Level-2,Level-3,Level-4,Level-2,Level-3,Level-4,Level-2,Level-3,Level-4,Level-2,Level-3,Level-4,Level-2,Level-3,Level-4,Level-2,Level-3,Level-4,Level-2,Level-3,Level-4
205,1,Zo8,39533.8,25058.8,23925.1,,,,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778.2,7423.6,8743.7,0,0,0,0,0,0,778.2,7423.6,8743.7
206,1,HU,,,,,,,Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5090.8,14118.3,11029.6,0,0,0,5090.8,14118.3,11029.6,5090.8,14118.3,11029.6
207,1,Er,22957.1,16837.3,92123.3,,,,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2472.6,240.9,1780.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,1,Gu,28153,29543.7,48152,,,,F,18179.3,19690,15368.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18179.3,19690,15368.7,0,0,0,18179.3,19690,15368.7,18179.3,19690,15368.7,18179.3,19690,15368.7,18179.3,19690,15368.7
209,1,Ma,27523.9,25710.5,54843.6,,,,F-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,1,HU,,,,,,,Zo2,40533.2,22861.9,16542,0,0,0,0,0,0,0,0,0,0,0,0,40533.2,22861.9,16542,40533.2,22861.9,16542,40533.2,22861.9,16542,0,0,0,0,0,0,39533.8,25058.8,23925.1,0,0,0
211,1,Ka,33668.4,25721.3,73638.9,,,,Zo8,39533.8,25058.8,23925.1,0,0,0,0,0,0,0,0,0,39533.8,25058.8,23925.1,39533.8,25058.8,23925.1,39533.8,25058.8,23925.1,39533.8,25058.8,23925.1,0,0,0,39533.8,25058.8,23925.1,40533.2,22861.9,16542,39533.8,25058.8,23925.1
212,1,F,18179.3,19690,15368.7,,,,La,0,0,0,0,0,0,0,0,0,19102.6,3543.6,4373.5,19102.6,3543.6,4373.5,19102.6,3543.6,4373.5,19102.6,3543.6,4373.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,1,Fi,35310.2,16334.6,143450.4,,,,Gu,28153,29543.7,48152,0,0,0,0,0,0,28153,29543.7,48152,28153,29543.7,48152,28153,29543.7,48152,28153,29543.7,48152,28153,29543.7,48152,28153,29543.7,48152,28153,29543.7,48152,28153,29543.7,48152,28153,29543.7,48152
